code	store_name	product_ean	location
GB	Newbury	6528474892715	Europe/London
JP	Fujioka	5286283223229	Asia/Tokyo
AU	Carindale	5324066396422	Australia/Brisbane
JP	Yao	4730125966337	Asia/Tokyo
PK	Naushahra Virkan	9619713549372	Asia/Karachi
US	Kendall	3900988811216	America/New_York
TH	Tak Bai	3719755804463	Asia/Bangkok
TR	Edremit	1353949583592	Europe/Istanbul
AZ	Qazax	7308909832139	Asia/Baku
IN	Lal Bahadur Nagar	8049840951198	Asia/Kolkata
CA	Norfolk County	7873237455591	America/Toronto
BE	Houthalen	1598204803156	Europe/Brussels
BR	Tucano	7451528510213	America/Bahia
SD	Ar Ruseris	2191033230439	Africa/Khartoum
IN	Puducherry	2417021905678	Asia/Kolkata
UA	Svatove	9945026197413	Europe/Zaporozhye
EC	Milagro	2112342497856	America/Guayaquil
PT	Carnaxide	7388120364145	Europe/Lisbon
MX	Contla	6717278181990	America/Mexico_City
BR	Santa Gertrudes	1800469624187	America/Sao_Paulo
CN	Shuangcheng	6340447311081	Asia/Shanghai
FR	Marly-le-Roi	4641939906030	Europe/Paris
GB	Clacton-on-Sea	4074788648781	Europe/London
MD	Soroca	7357828052135	Europe/Chisinau
KH	Paoy Paet	1719503155443	Asia/Phnom_Penh
AU	Eastwood	6671630506411	Australia/Sydney
US	South Lawndale	6178467761889	America/Chicago
US	Grand Forks	1792936405392	America/Chicago
IR	Nowshahr	4638402706983	Asia/Tehran
GB	Selby	4014019614468	Europe/London
DE	Gifhorn	6103594354840	Europe/Berlin
KZ	Shalqar	7729221048815	Asia/Aqtobe
PH	Naga	5124325763060	Asia/Manila
RU	Nizhniy Lomov	4036565659823	Europe/Moscow
BA	Bijeljina	4531102157645	Europe/Sarajevo
ES	Villaquilambre	4743419356592	Europe/Madrid
CN	Pingyi	5139610741531	Asia/Shanghai
BR	Viradouro	8859671209050	America/Sao_Paulo
HR	Split	4103116091835	Europe/Zagreb
IN	Kangayam	3661438935370	Asia/Kolkata
ES	Palafrugell	1397898185377	Europe/Madrid
GB	Leyland	8014896427720	Europe/London
GB	East Dereham	6262342519129	Europe/London
FR	Ajaccio	6669455378399	Europe/Paris
BR	Muritiba	9411321608577	America/Bahia
IT	Catania	2222549980430	Europe/Rome
BR	Aracaju	3585652909613	America/Maceio
BR	Palmeira	3925520189776	America/Sao_Paulo
JP	Ueno-ebisumachi	8442647182367	Asia/Tokyo
