user_id	pct_rage_click	page_activity_duration	pct_wild_mouse	product_ean	pct_click_product_info	pct_input	pct_scrandom	total_load_time	pct_click	screen_width	pct_scroll_move_duration	ack	pct_mouse_click	pct_doubleclick	mouse_move_total_rel_distance	session_start	screen_height	pct_mouse_move	browser_name	pct_scroll_move	session_id	scroll_move_total_rel_distance	session_duration	wild_mouse_duration
1267	13.36096	11.11023	57.22747	5118402349247	61.27995	1.69380	34.23153	9.49291	11.96745	800	7.61986	1.00000	12.77506	9.58935	9.99263	2021-08-31 01:16:45	600	9.55140	edge	77.30550	1011277	8.30487	145.66025	8.27685
1831	39.43056	11.38646	48.81767	6613735863389	55.97373	1.93407	58.66919	1.26378	10.36340	1280	5.00109	1.00000	11.29178	8.00024	10.30287	2021-05-28 17:34:01	768	8.07874	chrome	61.26521	539491	7.70199	109.48956	8.38637
374	62.84361	11.17206	53.92373	7388729766852	57.18573	1.59960	47.47953	3.28962	5.02218	1280	6.03786	1.00000	7.85928	9.97625	7.49351	2018-12-28 16:43:17	1024	6.88911	chrome	48.98359	394667	8.17021	204.12507	8.36077
2260	64.68865	6.33869	37.68672	1190955887968	54.34917	0.44924	39.85515	2.25213	11.32430	800	3.59392	0.00000	10.20939	13.61368	8.26995	2022-02-03 06:22:50	800	7.53323	edge	66.82098	748123	7.97703	123.40293	4.17809
779	63.11689	4.82687	54.53248	9538008640320	27.01917	1.21089	15.93508	4.11748	10.18901	800	9.97868	1.00000	5.55254		12.31943	2021-03-10 00:03:46	768	9.00901	mobile	75.85706	758679	9.01442	179.22699	8.08819
2142	55.33226	8.58405	49.43629	3116284237265	53.92689	0.56910	48.63067	12.84883	12.95610	1366	7.99541	1.00000	12.92490	10.92359	11.34870	2021-03-14 19:08:05	higher	9.21807	chrome	51.95344	192357	9.37691	91.43931	4.34117
32	65.34574	8.17143	51.96569	3581803397414	47.98139	0.50733	35.42682	3.94139	11.27823	1366	8.13553	1.00000	11.16755	12.19945	11.24282	2019-02-09 06:40:53	768	9.19801	edge	61.65811	130247	7.35485	194.76586	3.81768
2207	57.91318	10.93588	17.69817	9800125993789	73.49640	0.87855	42.32262	3.53652	7.39131	1280	5.85945	1.00000	11.53174	7.48691	7.04041	2021-04-14 15:39:16	lower	8.52579	mobile	41.47470	1272509	8.92787	156.61401	7.19220
1293	61.32360	11.40318	64.11900	5755338980474	49.16438	0.72830	43.10320	5.69487	11.20005	1280	8.26348	1.00000	14.13052	9.21863	9.89616	2019-07-06 11:29:12	768	8.53641	edge	60.47851	925297	10.86058	130.31639	6.14569
1592	62.38010	9.96045	45.20598	4429920853460	36.59056	0.69443	49.35351	4.73484	10.88326	1024	6.95844	1.00000	11.98685	9.53801	10.49273	2022-01-25 02:43:25	600	7.84713	other	25.66912	734057	7.57318	184.88292	5.90992
2025	76.87866	8.16434	49.88386	5707733781859	44.61130	1.19359	64.73051	3.95904	9.37735	1280	8.37161	0.00000	8.73538	7.74094	9.84035	2020-11-09 15:23:45	lower	9.50352	other	62.34522	787943	8.39606	201.06828	7.82607
146	42.67410	8.38997	48.42205	1325187286139	43.22554	0.86363	69.67990	1.84442	9.41457	1920	6.46859	1.00000	8.37549	12.26969	10.86478	2021-05-25 02:19:04	600	7.19598	edge	64.07369	1014197	9.99131	220.60092	5.63183
1437	50.27399	12.46221	61.01201	3951067175460	57.66402	0.73362	58.04426	0.93455	7.15007	1366	4.06567	1.00000	13.73758	9.54087	6.70571	2023-05-19 03:49:14	lower	7.16148	chrome	64.01097	202612	7.84005	119.56298	4.94746
1673	78.07118	11.82165	68.31778	4975169125078	37.83018	0.65707	48.16586	2.09292	7.54093	1920	5.58520	1.00000	13.66331	10.71543	4.54960	2022-05-03 00:24:59	800	8.52541	edge	64.28476	781221	10.34671	268.73647	6.69145
2007	46.75002	8.39746	63.40996	4976069744758	62.05342	5.21768	67.79739	2.12332	6.66789	1024	9.24595	1.00000	8.04030	10.37350	4.71209	2020-03-23 12:51:38	lower	7.93372	chrome	50.01343	1018291	8.17013	186.15175	9.81994
1679	53.85325	10.27721	60.72368	1516521995781	35.91633	0.81964	59.42024	0.63936	5.72186	lower	7.06932	1.00000	7.22041	11.48737	9.06608	2018-12-16 06:08:23	1024	8.93289	edge	23.19889	1390620	8.45819	117.39797	7.15910
2233	25.67903	8.99746	58.98060	8574668437802	37.68025	0.77552	44.04723	5.35519	9.57189	1024	7.46202	1.00000	8.90047	13.01515	10.18607	2022-12-25 22:08:02	1024	7.86246	chrome	62.93163	716796	8.81077	182.35556	6.48143
1515	64.54147	7.37820	44.10888	0358428693534	67.57201	0.50296	80.89904	5.96903	10.85869	1024	6.26823	0.00000	10.75887	9.79484	8.86159	2019-09-16 09:57:38	1024	9.51675	chrome	63.29330	1297736	9.28234	139.73008	5.56981
1297	88.66983	10.91626	57.98263	2470112348761	58.07635	2.00594	45.64487	0.94158	4.59718	800	5.58059	1.00000	10.11163	9.32436	3.24518	2022-01-29 15:49:12	768	8.82791	opera	75.64067	248081	9.78060	95.26603	8.52661
2320	55.91160	8.16465	54.61146	0946563804504	41.77532	0.35165	47.50231	5.74846	7.56233	1920	5.36080	1.00000	7.42467	11.98705	11.39916	2021-05-30 10:33:19	600	8.88926	chrome	51.98428	351720	7.94455	85.66373	3.67173
1422	52.36703	6.28523	42.22058	8859392892005	61.31067	0.20104	48.64280	5.96140	11.76576	1920	3.91276	0.00000	8.49145	12.93257	10.99108	2019-08-18 14:31:13	800	8.52484	chrome	33.89551	562077	8.69260	217.89800	4.79506
1920	68.96808	11.23131	48.40544	3094260264132	42.56764	1.15890	39.73776	8.28222	9.27228	800	6.91146	1.00000	11.03006	10.11758	9.25005	2023-04-03 09:21:18	1080	7.64750	mobile	55.84308	590045	7.88425	88.91228	7.83141
1618	55.60902	9.97790	58.95617	9464710645004	43.66442	0.81683	54.45381	7.10154	8.21418	1920	7.55300	1.00000	11.40520	12.05281	5.96682	2020-06-18 20:10:04	600	8.64293	safari	49.42953	545723	9.55317	58.49959	6.91937
1061	69.49634	10.43798	63.51426	8333376762442	61.30272	1.30536	63.55166	4.90602	9.58728	1366	5.69102	1.00000	10.15995	9.50695	9.94689	2021-03-01 21:02:54	768	9.14597	opera	44.26603	659407	9.63913	99.82361	7.70906
